loan_id,month_index,reporting_month,current_status,days_past_due,current_balance,original_balance,credit_score_band,ltv_band,servicer_name,exception_type,n_exceptions,exception_drivers,anomaly_score
LN003410,23,2022-09,Current,0,401766.18,419234.27,720-739,75-80,Evergreen_Loan_Ops,status_conflict,1,flag_status_dpd_mismatch,0.9874586899415304
LN003595,5,2020-03,Current,0,313910.62,318331.9,660-679,0-60,Delta_Servicing,status_conflict,1,flag_status_dpd_mismatch,0.9366155410558428
LN003057,11,2020-10,Current,0,661279.42,682122.04,700-719,75-80,Evergreen_Loan_Ops,status_conflict,1,flag_status_dpd_mismatch,0.9220405050419456
LN003379,20,2023-09,Current,0,657585.17,682220.93,720-739,70-75,Apex_Servicing,status_conflict,1,flag_status_dpd_mismatch,0.9181425302940429
LN003315,11,2019-11,Current,0,544029.64,556393.95,660-679,85-90,Evergreen_Loan_Ops,status_conflict,1,flag_status_dpd_mismatch,0.9075502076095247
LN003589,22,2023-03,Current,0,443030.61,429894.93,620-639,70-75,Evergreen_Loan_Ops,status_conflict,1,flag_status_dpd_mismatch,0.9056859588170494
LN003212,22,2023-07,Current,0,303680.79,319663.99,<620,60-70,Crestline_Financial,status_conflict,1,flag_status_dpd_mismatch,0.9010253368358614
LN003111,13,2023-11,Current,0,651455.29,675861.4,740-759,80-85,Delta_Servicing,status_conflict,1,flag_status_dpd_mismatch,0.8978052707397678
LN003253,12,2019-12,Current,0,220202.09,227795.27,640-659,85-90,Evergreen_Loan_Ops,status_conflict,1,flag_status_dpd_mismatch,0.8888229811032964
LN003186,11,2021-12,Current,0,205408.55,210076.93,760-779,75-80,Evergreen_Loan_Ops,status_conflict,1,flag_status_dpd_mismatch,0.876451148207779
LN003592,12,2020-02,Current,0,215185.55,222605.74,740-759,70-75,Crestline_Financial,status_conflict,1,flag_status_dpd_mismatch,0.8731463435302093
LN003435,11,2022-10,Current,0,711367.69,681096.72,660-679,85-90,Evergreen_Loan_Ops,status_conflict,1,flag_status_dpd_mismatch,0.8680620286416405
LN003563,1,2020-05,Current,0,318328.22,319214.93,640-659,90-95,Delta_Servicing,status_conflict,1,flag_status_dpd_mismatch,0.86543513261588
LN003324,9,2020-05,Current,0,223896.94,229637.89,700-719,0-60,Crestline_Financial,status_conflict,1,flag_status_dpd_mismatch,0.8632319294975002
LN003277,6,2019-12,Current,0,155675.12,158313.68,760-779,0-60,Crestline_Financial,status_conflict,1,flag_status_dpd_mismatch,0.8604355563087874
LN003001,1,2019-06,Current,0,681015.48,682912.46,640-659,0-60,Delta_Servicing,status_conflict,1,flag_status_dpd_mismatch,0.8494195407168884
LN003448,12,2021-11,Current,0,657044.45,679701.15,740-759,70-75,Beacon_Mortgage,status_conflict,1,flag_status_dpd_mismatch,0.8481484619947462
LN003266,9,2019-12,Current,0,224151.61,216339.36,780+,85-90,Evergreen_Loan_Ops,status_conflict,1,flag_status_dpd_mismatch,0.8467926446911279
LN003062,9,2020-04,Current,0,418686.82,429422.38,740-759,70-75,Apex_Servicing,status_conflict,1,flag_status_dpd_mismatch,0.8324718244216592
LN003185,1,2022-06,Current,0,153842.38,154270.91,700-719,0-60,Evergreen_Loan_Ops,status_conflict,1,flag_status_dpd_mismatch,0.830099144140327
